2000000
code	freq(hz)
0xd0	598.0861244019138
0xd1	595.2380952380952
0xd2	592.4170616113744
0xd3	589.622641509434
0xd4	586.8544600938967
0xd5	584.1121495327103
0xd6	581.3953488372093
0xd7	578.7037037037037
0xd8	576.036866359447
0xd9	573.394495412844
0xda	570.7762557077625
0xdb	568.1818181818181
0xdc	565.6108597285067
0xdd	563.063063063063
0xde	560.5381165919282
0xdf	558.0357142857143
0xe0	555.5555555555555
0xe1	553.0973451327434
0xe2	550.6607929515418
0xe3	548.2456140350877
0xe4	545.8515283842795
0xe5	543.4782608695652
0xe6	541.1255411255411
0xe7	538.7931034482758
0xe8	536.480686695279
0xe9	534.1880341880342
0xea	531.9148936170212
0xeb	529.6610169491526
0xec	527.4261603375527
0xed	525.2100840336135
0xee	523.0125523012553
0xef	520.8333333333334
0xf0	518.6721991701245
0xf1	516.5289256198347
0xf2	514.40329218107
0xf3	512.2950819672132
0xf4	510.2040816326531
0xf5	508.130081300813
0xf6	506.07287449392715
0xf7	504.03225806451616
0xf8	502.00803212851406
0xf9	500.0
0xfa	498.00796812749
0xfb	496.031746031746
0xfc	494.0711462450593
0xfd	492.12598425196853
0xfe	490.19607843137254
0xff	488.28125
0x100	486.38132295719845
0x101	484.49612403100775
0x102	482.6254826254826
0x103	480.7692307692308
0x104	478.9272030651341
0x105	477.09923664122135
0x106	475.2851711026616
0x107	473.4848484848485
0x108	471.6981132075472
0x109	469.9248120300752
0x10a	468.1647940074906
0x10b	466.4179104477612
0x10c	464.6840148698885
0x10d	462.962962962963
0x10e	461.2546125461255
0x10f	459.55882352941177
0x110	457.87545787545787
0x111	456.2043795620438
0x112	454.54545454545456
0x113	452.8985507246377
0x114	451.2635379061372
0x115	449.64028776978415
0x116	448.02867383512546
0x117	446.42857142857144
0x118	444.83985765124555
0x119	443.26241134751774
0x11a	441.69611307420496
0x11b	440.14084507042253
0x11c	438.5964912280702
0x11d	437.06293706293707
0x11e	435.54006968641113
0x11f	434.02777777777777
0x120	432.52595155709344
0x121	431.0344827586207
0x122	429.553264604811
0x123	428.0821917808219
0x124	426.6211604095563
0x125	425.1700680272109
0x126	423.728813559322
0x127	422.2972972972973
0x128	420.8754208754209
0x129	419.46308724832215
0x12a	418.0602006688963
0x12b	416.6666666666667
0x12c	415.28239202657807
0x12d	413.9072847682119
0x12e	412.54125412541254
0x12f	411.1842105263158
0x130	409.8360655737705
0x131	408.4967320261438
0x132	407.1661237785016
0x133	405.84415584415586
0x134	404.53074433656957
0x135	403.2258064516129
0x136	401.92926045016077
0x137	400.64102564102564
0x138	399.36102236421726
0x139	398.0891719745223
0x13a	396.8253968253968
0x13b	395.56962025316454
0x13c	394.3217665615142
0x13d	393.0817610062893
0x13e	391.84952978056424
0x13f	390.625
0x140	389.4080996884735
0x141	388.19875776397515
0x142	386.9969040247678
0x143	385.8024691358025
0x144	384.61538461538464
0x145	383.4355828220859
0x146	382.262996941896
0x147	381.0975609756098
0x148	379.9392097264438
0x149	378.7878787878788
0x14a	377.64350453172204
0x14b	376.50602409638554
0x14c	375.37537537537537
0x14d	374.251497005988
0x14e	373.13432835820896
0x14f	372.0238095238095
0x150	370.919881305638
0x151	369.8224852071006
0x152	368.7315634218289
0x153	367.6470588235294
0x154	366.5689149560117
0x155	365.4970760233918
0x156	364.4314868804665
0x157	363.3720930232558
0x158	362.3188405797101
0x159	361.271676300578
0x15a	360.2305475504323
0x15b	359.1954022988506
0x15c	358.1661891117478
0x15d	357.14285714285717
0x15e	356.1253561253561
0x15f	355.1136363636364
0x160	354.10764872521247
0x161	353.1073446327684
0x162	352.11267605633805
0x163	351.12359550561797
0x164	350.14005602240894
0x165	349.16201117318434
0x166	348.18941504178275
0x167	347.22222222222223
0x168	346.26038781163436
0x169	345.30386740331494
0x16a	344.3526170798898
